






Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter,AbsTime
0.47809,2,259,196610,8,db,0c,79,07,24,0e,ff,0c,115,2024-11-16 12:24:15
0.48209,2,259,196610,8,da,0c,77,07,22,0e,ff,0c,116,2024-11-16 12:24:15
0.48513,2,1552,196610,8,f0,04,00,b3,d1,00,18,8c,117,2024-11-16 12:24:15
0.48527,2,1553,196610,8,2e,08,0a,2b,e4,01,32,60,118,2024-11-16 12:24:15
0.48609,2,259,196610,8,dc,0c,79,07,23,0e,fe,0c,119,2024-11-16 12:24:15
0.48620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,120,2024-11-16 12:24:15
0.48731,2,1554,196610,8,93,d4,10,3f,26,08,6e,73,121,2024-11-16 12:24:15
0.48744,2,1555,196610,8,00,00,80,d7,ed,04,d5,d8,122,2024-11-16 12:24:15
0.49009,2,259,196610,8,db,0c,76,07,23,0e,ff,0c,123,2024-11-16 12:24:15
0.49409,2,259,196610,8,dd,0c,78,07,23,0e,ff,0c,124,2024-11-16 12:24:15
0.49608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,125,2024-11-16 12:24:15
0.49621,2,1552,196610,8,76,04,00,06,cf,00,ca,92,126,2024-11-16 12:24:15
0.49635,2,1553,196610,8,39,08,0a,33,e4,01,2e,5e,127,2024-11-16 12:24:15
0.49809,2,259,196610,8,dd,0c,78,07,22,0e,fe,0c,128,2024-11-16 12:24:15
0.49832,2,1554,196610,8,81,d4,10,ff,27,08,5d,79,129,2024-11-16 12:24:15
0.49846,2,1555,196610,8,00,00,80,d1,f4,04,81,d7,130,2024-11-16 12:24:15
0.50209,2,259,196610,8,dc,0c,79,07,22,0e,fd,0c,131,2024-11-16 12:24:15
0.50609,2,259,196610,8,de,0c,79,07,22,0e,ff,0c,132,2024-11-16 12:24:15
0.50620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,133,2024-11-16 12:24:15
0.50713,2,1552,196610,8,82,05,00,07,d0,00,40,b7,134,2024-11-16 12:24:15
