Processing file: ./09-30/test_day_2_063.csv
3.4754998683929443 at 50.66661
3.476300001144409 at 51.05990
3.4763998985290527 at 51.84667
3.4779000282287598 at 52.24011
3.4772000312805176 at 52.63359
3.475600004196167 at 53.02703
3.476799964904785 at 53.42042
3.4751999378204346 at 53.93365
3.476300001144409 at 54.32707
3.4773998260498047 at 54.72051
3.477099895477295 at 55.11395
3.4788999557495117 at 55.50736
3.4788999557495117 at 55.90077
3.479300022125244 at 56.29415
3.4776999950408936 at 56.68755
3.4776999950408936 at 57.14886
3.4779999256134033 at 57.49035
3.4783999919891357 at 57.88383
3.4763998985290527 at 58.67063
3.4779000282287598 at 59.06405
3.4779999256134033 at 59.45753
3.478099822998047 at 59.85098
3.477799892425537 at 60.24439
3.4772000312805176 at 60.63778
3.4772000312805176 at 61.15107
3.477299928665161 at 61.54449
3.477099895477295 at 61.93789
3.4786999225616455 at 62.72473
3.4789998531341553 at 63.11817
3.4796998500823975 at 63.51157
3.4793999195098877 at 63.90497
3.4804999828338623 at 64.36628
3.4791998863220215 at 64.70776
3.479599952697754 at 65.10116
3.479599952697754 at 65.49460
3.48009991645813 at 65.88804
3.480799913406372 at 66.67485
3.4808998107910156 at 67.06823
3.4811999797821045 at 67.46158
3.4818999767303467 at 67.85498
3.482800006866455 at 68.36823
3.4826998710632324 at 68.76163
3.483099937438965 at 69.15500
3.4843997955322266 at 69.54845
3.484299898147583 at 69.94192
3.484499931335449 at 70.33535
3.484499931335449 at 70.72880
3.481099843978882 at 71.12228
3.482499837875366 at 71.58369
3.4808998107910156 at 72.31874
3.4809999465942383 at 72.71219
3.481599807739258 at 73.10573
3.4816999435424805 at 73.49919
3.481599807739258 at 73.89261
3.4821999073028564 at 74.28606
3.4818999767303467 at 74.67948
3.4826998710632324 at 75.07291
3.483099937438965 at 75.58619
3.4831998348236084 at 75.97965
3.481599807739258 at 76.37313
3.481299877166748 at 76.76654
3.4814000129699707 at 77.15992
3.4826998710632324 at 77.94676
3.4818999767303467 at 78.34022
3.4826998710632324 at 78.80155
3.482599973678589 at 79.14306
3.482800006866455 at 79.53646
3.4831998348236084 at 79.92987
3.482100009918213 at 80.32332
3.4826998710632324 at 80.71673
3.482800006866455 at 81.11015
3.482800006866455 at 81.50353
3.483099937438965 at 81.89692
3.482999801635742 at 82.29029
3.482800006866455 at 82.80350
3.482800006866455 at 83.19690
3.4828999042510986 at 83.59027
3.482999801635742 at 83.98365
3.484299898147583 at 84.37709
3.4828999042510986 at 84.77048
3.4842000007629395 at 85.16386
3.482999801635742 at 86.01870
3.482999801635742 at 86.36018
3.482800006866455 at 86.75360
3.4818999767303467 at 87.14709
3.4811999797821045 at 87.54057
3.477099895477295 at 87.93401
3.4793999195098877 at 88.32750
3.4783999919891357 at 88.72097
3.4739999771118164 at 89.11440
3.475299835205078 at 89.50781
3.476599931716919 at 90.02110
3.470099925994873 at 90.41451
3.477799892425537 at 90.80793
3.4733998775482178 at 91.59480
3.4768998622894287 at 91.98818
3.4749999046325684 at 92.38149
3.4736998081207275 at 92.77488
3.4751999378204346 at 93.23614
3.476300001144409 at 93.57763
3.4766998291015625 at 93.97102
3.4763998985290527 at 94.36434
3.474799871444702 at 94.75767
3.4743998050689697 at 95.15099
3.4751999378204346 at 95.54439
3.4761998653411865 at 95.93782
3.476799964904785 at 96.72459
3.474599838256836 at 97.23782
3.474299907684326 at 98.02467
3.4756999015808105 at 98.41814
3.4751999378204346 at 98.81157
3.4783999919891357 at 99.20501
3.482599973678589 at 99.59839
3.4671998023986816 at 99.99179
3.4716999530792236 at 100.45309
3.4811999797821045 at 100.79463
3.4819998741149902 at 101.18810
3.4769999980926514 at 101.58155
3.474599838256836 at 101.97502
3.482800006866455 at 102.36849
