Processing file: ./09-30/test_day_2_063.csv
-0.07999999821186066 at 38.22977
-0.07999999821186066 at 38.62311
-0.1599999964237213 at 39.40977
-0.1599999964237213 at 39.80315
-0.07999999821186066 at 40.58990
-0.07999999821186066 at 41.39259
-0.1599999964237213 at 42.17930
-0.1599999964237213 at 42.57267
-0.07999999821186066 at 44.14617
-0.07999999821186066 at 44.53949
Processing file: ./09-30/test_day_2_066.csv
-0.07999999821186066 at 1.11126
-0.07999999821186066 at 6.41090
0.07999999821186066 at 11.98605
0.07999999821186066 at 17.62990
-0.07999999821186066 at 18.81020
0.07999999821186066 at 24.84747
Processing file: ./09-30/test_day_2_067.csv
-0.07999999821186066 at 1.11132
0.07999999821186066 at 7.14568
-0.07999999821186066 at 10.41174
-0.07999999821186066 at 16.32720
-0.07999999821186066 at 19.20048
-0.07999999821186066 at 22.75668
-0.07999999821186066 at 23.15005
-0.07999999821186066 at 23.54339
Processing file: ./09-30/test_day_2_073.csv
-0.07999999821186066 at 2.29189
-0.07999999821186066 at 7.14799
0.07999999821186066 at 10.80840
-0.1599999964237213 at 12.38178
0.07999999821186066 at 12.77507
0.1599999964237213 at 13.62965
0.3199999928474426 at 13.97110
0.23999999463558197 at 14.36451
0.3199999928474426 at 14.75793
0.4000000059604645 at 15.54470
0.5600000023841858 at 15.93812
0.5600000023841858 at 16.33155
0.6399999856948853 at 16.72494
0.5600000023841858 at 17.11836
0.9599999785423279 at 17.63165
0.7200000286102295 at 18.02507
0.8799999952316284 at 18.41849
0.9599999785423279 at 18.81201
0.9599999785423279 at 19.20545
0.9599999785423279 at 19.59890
0.800000011920929 at 19.99239
0.800000011920929 at 20.38584
0.8799999952316284 at 20.84723
0.9599999785423279 at 21.18876
0.8799999952316284 at 21.58216
0.5600000023841858 at 21.97558
0.4000000059604645 at 22.36901
0.5600000023841858 at 23.15589
0.800000011920929 at 23.94264
0.5600000023841858 at 24.33603
0.800000011920929 at 25.63608
0.23999999463558197 at 26.02950
0.47999998927116394 at 26.81640
0.5600000023841858 at 27.20987
0.5600000023841858 at 28.79971
0.4000000059604645 at 29.19318
0.3199999928474426 at 29.98002
0.1599999964237213 at 30.76691
0.07999999821186066 at 31.16033
0.07999999821186066 at 32.06696
0.1599999964237213 at 32.46037
0.3199999928474426 at 34.82076
0.07999999821186066 at 36.41038
-0.1599999964237213 at 37.98412
0.8799999952316284 at 38.37755
4.960000038146973 at 38.77096
43.279998779296875 at 39.28417
32.720001220703125 at 39.67756
49.7599983215332 at 40.07089
40.63999938964844 at 40.46423
49.119998931884766 at 40.85759
39.599998474121094 at 41.25094
37.84000015258789 at 41.64426
42.880001068115234 at 42.03758
26.799999237060547 at 42.49886
21.920000076293945 at 42.84032
20.0 at 43.23369
1.9199999570846558 at 43.62701
-0.23999999463558197 at 44.02040
-0.07999999821186066 at 51.23704
-0.07999999821186066 at 55.68399
0.07999999821186066 at 56.07735
-0.07999999821186066 at 64.14802
-0.07999999821186066 at 64.48949
0.07999999821186066 at 69.72305
-0.07999999821186066 at 72.09926
0.07999999821186066 at 74.45939
0.07999999821186066 at 77.72573
0.07999999821186066 at 78.11909
-0.07999999821186066 at 82.58280
-0.07999999821186066 at 84.15664
-0.07999999821186066 at 85.33702
0.07999999821186066 at 88.10707
-0.07999999821186066 at 89.28740
-0.07999999821186066 at 90.58755
-0.07999999821186066 at 108.57974
-0.07999999821186066 at 109.75992
-0.07999999821186066 at 112.63333
-0.07999999821186066 at 113.42011
-0.07999999821186066 at 116.97657
-0.07999999821186066 at 117.36998
-0.07999999821186066 at 119.06337
0.07999999821186066 at 127.85399
-0.07999999821186066 at 129.83707
-0.1599999964237213 at 132.19753
-0.07999999821186066 at 132.59090
-0.07999999821186066 at 138.62763
-0.07999999821186066 at 141.89427
0.23999999463558197 at 146.63031
0.07999999821186066 at 147.02358
0.23999999463558197 at 147.53671
0.23999999463558197 at 147.93001
0.3199999928474426 at 148.32339
0.47999998927116394 at 148.71673
0.23999999463558197 at 149.11006
0.6399999856948853 at 149.50337
0.7200000286102295 at 149.89671
0.5600000023841858 at 150.29006
0.4000000059604645 at 150.75135
0.800000011920929 at 151.09281
0.800000011920929 at 151.48618
