Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63,Counter,AbsTime
0.38209,2,259,196610,10,d6,0c,73,07,23,0e,fe,0c,eb,0e,e5,0e,80,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2024-11-16 12:24:15
0.38609,2,259,196610,10,d6,0c,74,07,22,0e,ff,0c,ee,0e,e8,0e,81,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,2024-11-16 12:24:15
0.38620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2024-11-16 12:24:15
0.38634,2,1552,196610,11,44,03,00,20,cd,00,40,c9,fb,ec,91,05,aa,18,05,41,f6,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2024-11-16 12:24:15
0.38814,2,1554,196610,11,37,c9,10,e5,24,08,a2,6d,0d,ff,ff,7f,7c,b9,06,1c,04,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2024-11-16 12:24:15
0.38828,2,1555,196610,11,00,00,80,e3,ef,04,06,cc,22,e3,4c,06,fe,a0,05,40,03,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2024-11-16 12:24:15
0.39009,2,259,196610,10,d6,0c,75,07,23,0e,fd,0c,f3,0e,ed,0e,80,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2024-11-16 12:24:15
0.39409,2,259,196610,10,d6,0c,75,07,23,0e,fe,0c,f7,0e,f2,0e,82,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,2024-11-16 12:24:15
0.39608,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,2024-11-16 12:24:15
0.39713,2,1552,196610,11,89,03,00,26,d1,00,2b,d6,fb,00,90,05,75,17,05,0e,f8,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2024-11-16 12:24:15
0.39727,2,1553,196610,11,ab,02,0a,06,e5,01,47,5a,08,e8,f5,02,59,54,04,45,f6,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2024-11-16 12:24:15
0.39809,2,259,196610,10,d6,0c,75,07,23,0e,fd,0c,f7,0e,f4,0e,80,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,2024-11-16 12:24:15
0.39916,2,1554,196610,11,e3,c9,10,c5,26,08,4e,6f,0d,ff,ff,7f,0f,b6,06,3f,05,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,2024-11-16 12:24:15
0.39930,2,1555,196610,11,00,00,80,73,eb,04,a2,cb,22,8f,4c,06,b8,a2,05,6e,0c,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,2024-11-16 12:24:15
0.40209,2,259,196610,10,d6,0c,75,07,22,0e,fe,0c,fd,0e,f9,0e,81,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2024-11-16 12:24:15
0.40609,2,259,196610,10,d7,0c,74,07,23,0e,fd,0c,ff,0e,fc,0e,80,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,2024-11-16 12:24:15
0.40620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,2024-11-16 12:24:15
0.40813,2,1552,196610,11,fe,03,00,54,cd,00,ac,ea,fb,32,90,05,59,16,05,c3,f8,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,2024-11-16 12:24:15
0.40827,2,1553,196610,11,ed,08,0a,7d,e6,01,fd,5a,08,7b,fb,02,85,4f,04,6e,f7,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,2024-11-16 12:24:15
0.41009,2,259,196610,10,d9,0c,75,07,23,0e,ff,0c,04,0f,fe,0e,82,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,2024-11-16 12:24:15
0.41022,2,1554,196610,11,b3,c9,10,c4,21,08,a2,6d,0d,ff,ff,7f,f9,b7,06,f5,05,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,2024-11-16 12:24:15
0.41036,2,1555,196610,11,00,00,80,69,f0,04,5a,d0,22,e4,4c,06,90,a7,05,08,03,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,2024-11-16 12:24:15
0.41409,2,259,196610,10,d8,0c,74,07,24,0e,ff,0c,08,0f,03,0f,83,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,2024-11-16 12:24:15
0.41608,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,2024-11-16 12:24:15
0.41809,2,259,196610,10,d8,0c,76,07,22,0e,ff,0c,0b,0f,06,0f,83,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2024-11-16 12:24:15
0.41913,2,1552,196610,11,0e,04,00,26,d1,00,74,0d,fc,5f,90,05,bd,1a,05,4a,f2,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,2024-11-16 12:24:15
0.41927,2,1553,196610,11,66,05,0a,c7,e2,01,98,58,08,c7,fa,02,10,55,04,c3,f5,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,2024-11-16 12:24:15
0.42120,2,1554,196610,11,db,c9,10,05,28,08,4d,73,0d,ff,ff,7f,da,b4,06,88,06,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2024-11-16 12:24:15
0.42133,2,1555,196610,11,00,00,80,8c,ed,04,58,cd,22,5f,4b,06,c3,a4,05,ac,0c,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,2024-11-16 12:24:15
0.42209,2,259,196610,10,d8,0c,75,07,23,0e,fd,0c,10,0f,0a,0f,84,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,2024-11-16 12:24:15
0.42609,2,259,196610,10,d9,0c,76,07,22,0e,00,0d,12,0f,0b,0f,83,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,2024-11-16 12:24:15
0.42620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,2024-11-16 12:24:15
0.43009,2,259,196610,10,da,0c,77,07,22,0e,ff,0c,16,0f,11,0f,83,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,2024-11-16 12:24:15
0.43023,2,1552,196610,11,ed,05,00,07,d0,00,47,2c,fc,29,95,05,33,19,05,04,f1,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,2024-11-16 12:24:15
0.43036,2,1553,196610,11,d3,08,0a,2f,e5,01,dd,58,08,7c,fd,02,9e,51,04,7d,f5,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,2024-11-16 12:24:15
0.43221,2,1554,196610,11,06,cb,10,c5,26,08,4d,73,0d,ff,ff,7f,1e,b5,06,89,0b,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2024-11-16 12:24:15
0.43235,2,1555,196610,11,00,00,80,8d,f0,04,84,cc,22,40,53,06,7c,a3,05,40,03,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,2024-11-16 12:24:15
0.43409,2,259,196610,10,d8,0c,77,07,23,0e,fd,0c,1b,0f,15,0f,83,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,2024-11-16 12:24:15
0.43608,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,2024-11-16 12:24:15
0.43809,2,259,196610,10,d8,0c,76,07,23,0e,ff,0c,1c,0f,19,0f,84,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,2024-11-16 12:24:15
0.44113,2,1552,196610,11,ff,03,00,f3,d0,00,cd,4a,fc,f3,92,05,79,19,05,bb,f1,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,2024-11-16 12:24:15
0.44127,2,1553,196610,11,c2,07,0a,83,e8,01,a1,5f,08,74,06,03,33,55,04,69,f6,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,2024-11-16 12:24:15
